epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5134,1.77109,3.10264,1.84502,0.59848,0.23635,0.22531,0.09738,2.1593,2.79344,2.35225,0.00032963,0.00032963,0.00032963
2,35.8835,1.64292,2.29631,1.70804,0.46688,0.33724,0.32543,0.12523,1.95932,4.78016,2.40103,0.000630146,0.000630146,0.000630146
3,53.6351,1.66099,2.19075,1.6912,0.45345,0.30928,0.29496,0.11663,2.13726,2.4253,2.21763,0.000897663,0.000897663,0.000897663
4,70.3364,1.63989,2.08909,1.68978,0.54858,0.44245,0.39537,0.14643,2.06438,2.20751,2.21476,0.0008515,0.0008515,0.0008515
5,87.038,1.59937,1.94921,1.64705,0.45112,0.46066,0.39754,0.15922,1.9474,2.1595,2.03965,0.000802,0.000802,0.000802
6,103.772,1.55565,1.85906,1.61665,0.6669,0.43517,0.50175,0.22982,1.71655,1.91219,1.91828,0.0007525,0.0007525,0.0007525
7,120.498,1.52319,1.76287,1.59491,0.4323,0.50484,0.51731,0.22686,1.75454,1.82086,1.95099,0.000703,0.000703,0.000703
8,138.143,1.51354,1.7731,1.60934,0.67948,0.52477,0.56135,0.24977,1.7368,1.95938,1.8865,0.0006535,0.0006535,0.0006535
9,158.433,1.48728,1.7108,1.57498,0.69123,0.51581,0.58274,0.2809,1.67245,1.70949,1.84752,0.000604,0.000604,0.000604
10,178.476,1.46404,1.66041,1.54785,0.55248,0.61365,0.65477,0.30102,1.67572,1.66451,1.8008,0.0005545,0.0005545,0.0005545
11,198.814,1.54298,1.75759,1.66834,0.68544,0.55829,0.6448,0.31295,1.64355,1.57179,1.81508,0.000505,0.000505,0.000505
12,217.25,1.50066,1.6433,1.64461,0.70989,0.55808,0.65682,0.31897,1.61171,1.5795,1.83834,0.0004555,0.0004555,0.0004555
13,235.97,1.50708,1.6189,1.64189,0.57434,0.62022,0.64941,0.30218,1.64257,1.54789,1.8001,0.000406,0.000406,0.000406
14,253.979,1.45534,1.54364,1.60817,0.63664,0.60842,0.66044,0.32377,1.58669,1.51036,1.7577,0.0003565,0.0003565,0.0003565
15,272.825,1.41974,1.48819,1.57904,0.56098,0.64588,0.64182,0.32059,1.60758,1.49527,1.76415,0.000307,0.000307,0.000307
16,289.728,1.43514,1.44537,1.58893,0.73078,0.6073,0.69459,0.35509,1.54026,1.42566,1.73298,0.0002575,0.0002575,0.0002575
17,308.55,1.39895,1.40955,1.54379,0.6367,0.60419,0.6507,0.32443,1.60374,1.4766,1.74547,0.000208,0.000208,0.000208
18,327.47,1.37322,1.38597,1.54219,0.65839,0.65684,0.70801,0.36508,1.54363,1.37213,1.72628,0.0001585,0.0001585,0.0001585
19,346.748,1.34942,1.34804,1.52597,0.6318,0.68665,0.7332,0.38019,1.5057,1.36667,1.68328,0.000109,0.000109,0.000109
20,367.074,1.33934,1.32194,1.51132,0.68744,0.67208,0.72318,0.38166,1.52499,1.35476,1.6935,5.95e-05,5.95e-05,5.95e-05
